,University,Degree,Avg_Attendance,Avg_Study_time_per_day,Extracurricular_Activities,Avg_sleep_time,Household_Size,Workout,Free_time_Activity,University_society_member,Parents_Highest_Qaulification,GPA,field
108,DOW UNIVERSITY OF HEALTH SCIENCES,Bsc,70%-80%,1-2 hours,SPORTS;VOLUNTEER WORK,5-7 hours,5-6 members,"No, I don't",Reading,No,High School Diploma or Below,3.0 - 3.9,BS-BT
109,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,CRYPTO TRADING,7-9 hours,5-6 members,"No, I don't",Crypto Teaching,Yes,Master's Degree,3.0 - 3.9,BBA
110,DOW UNIVERSITY OF HEALTH SCIENCES,Bsc,70%-80%,3-4 hours,VOLUNTEER WORK,5-7 hours,3-4 members,"Yes, regularly",Reading,No,Bachelor's Degree,3.0 - 3.9,BS-BT
111,FAST UNIVERSITY,Bsc,80%-90%,Less than 1 hour,SPORTS;VOLUNTEER WORK,Less than 5 hours,3-4 members,Occasionally,Playing Games,Yes,Master's Degree,2.0 - 2.9,BS-EE
112,IQRA UNIVERSITY,Bsc,80%-90%,1-2 hours,VOLUNTEER WORK,5-7 hours,3-4 members,Occasionally,Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BS-CS
113,BAHRIA UNIVERSITY,Bsc,70%-80%,1-2 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS,Less than 5 hours,7 or more members,"No, I don't",Reading,Yes,Bachelor's Degree,3.0 - 3.9,BS-AI
114,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,Less than 5 hours,5-6 members,"Yes, regularly",Playing Games,No,Master's Degree,0.0 - 1.9,BS-AI
115,IQRA UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,5-7 hours,7 or more members,"Yes, regularly",Playing Games,No,High School Diploma or Below,3.0 - 3.9,BBA
116,IQRA UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS,5-7 hours,3-4 members,Occasionally,Watching TV/Movies,No,High School Diploma or Below,2.0 - 2.9,BBA
117,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK;GAMING,Less than 5 hours,7 or more members,Occasionally,Playing Games,Yes,Master's Degree,3.0 - 3.9,BS-CS
118,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,7-9 hours,5-6 members,Occasionally,Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BS-CS
119,FAST UNIVERSITY,Bsc,70%-80%,3-4 hours,ACADEMIC CLUBS;VOLUNTEER WORK,7-9 hours,7 or more members,"No, I don't",Watching TV/Movies,Yes,High School Diploma or Below,2.0 - 2.9,BS-CS
120,FAST UNIVERSITY,Bsc,80%-90%,5-6 hours,No Activity,5-7 hours,7 or more members,"No, I don't",Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-SE
121,FAST UNIVERSITY,Bsc,90% - 100%,Less than 1 hour,SPORTS;ACADEMIC CLUBS,7-9 hours,3-4 members,"No, I don't",Playing Games,No,Doctorate or Professional Degree,3.0 - 3.9,BACHELOR
122,FAST UNIVERSITY,Msc,90% - 100%,Less than 1 hour,SPORTS,7-9 hours,3-4 members,"No, I don't",Playing Games,No,Doctorate or Professional Degree,3.0 - 3.9,MASTERS
123,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,No Activity,5-7 hours,5-6 members,"No, I don't",Socializing with Friends,No,High School Diploma or Below,3.0 - 3.9,BS-CS
124,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;VOLUNTEER WORK,5-7 hours,3-4 members,"No, I don't",Socializing with Friends,Yes,High School Diploma or Below,2.0 - 2.9,BS-CS
125,FAST UNIVERSITY,Bsc,80%-90%,Less than 1 hour,ARTS AND CULTURE;ACADEMIC CLUBS;VOLUNTEER WORK,Less than 5 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,High School Diploma or Below,2.0 - 2.9,BS-CS
126,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS,7-9 hours,5-6 members,"No, I don't",Socializing with Friends,Yes,Master's Degree,3.0 - 3.9,BS-SE
127,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,3-4 hours,ACADEMIC CLUBS,5-7 hours,7 or more members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,3.0 - 3.9,BS-EE
128,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ARTS AND CULTURE,Less than 5 hours,7 or more members,"No, I don't",Playing Games,Yes,Master's Degree,3.0 - 3.9,BS-AI
129,BAHRIA UNIVERSITY,Bsc,80%-90%,1-2 hours,No Activity,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,Master's Degree,3.0 - 3.9,BBA
130,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,SPORTS,Less than 5 hours,3-4 members,"No, I don't",Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-EE
131,DOW UNIVERSITY OF HEALTH SCIENCES,Bsc,90% - 100%,Less than 1 hour,SPORTS;ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Master's Degree,4,BS-BT
132,FAST UNIVERSITY,Bsc,90% - 100%,3-4 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS,Less than 5 hours,3-4 members,"No, I don't",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-AI
133,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS;VOLUNTEER WORK,More than 9 hours,3-4 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,3.0 - 3.9,BS-AI
134,FAST UNIVERSITY,Bsc,80%-90%,Less than 1 hour,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,Yes,Master's Degree,3.0 - 3.9,BS-CYS
135,FAST UNIVERSITY,Bsc,90% - 100%,More than 6 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS;VOLUNTEER WORK;,More than 9 hours,7 or more members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,4,BS-CYS
136,FAST UNIVERSITY,Bsc,70%-80%,1-2 hours,SPORTS,7-9 hours,3-4 members,Occasionally,Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-CS
137,FAST UNIVERSITY,Bsc,90% - 100%,3-4 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-AI
138,UNIVERSITY OF KARACHI,Bsc,70%-80%,5-6 hours,No Activity,7-9 hours,7 or more members,"No, I don't",Watching TV/Movies,No,High School Diploma or Below,2.0 - 2.9,BA
139,BAHRIA UNIVERSITY,Bsc,70%-80%,1-2 hours,ARTS AND CULTURE;MUSIC,5-7 hours,3-4 members,Occasionally,Playing guitar,Yes,Bachelor's Degree,2.0 - 2.9,BS-CS
140,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,Occasionally,Socializing with Friends,Yes,High School Diploma or Below,3.0 - 3.9,BS-CS
141,FAST UNIVERSITY,Bsc,90% - 100%,5-6 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BS-CS
142,BAHRIA UNIVERSITY,Bsc,Below 60%,Less than 1 hour,SPORTS,More than 9 hours,1-2 members,"No, I don't",Socializing with Friends,No,Doctorate or Professional Degree,0.0 - 1.9,BS-IT
143,BAHRIA UNIVERSITY,Bsc,70%-80%,1-2 hours,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,More than 9 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,Bachelor's Degree,3.0 - 3.9,BBA
144,BAHRIA UNIVERSITY,Bsc,90% - 100%,Less than 1 hour,SPORTS,5-7 hours,3-4 members,"No, I don't",Playing Games,No,High School Diploma or Below,3.0 - 3.9,BBA
145,ABDULLAH ,Bsc,90% - 100%,3-4 hours,SPORTS;VOLUNTEER WORK,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,High School Diploma or Below,4,BS-IT
146,BAHRIA UNIVERSITY,Bsc,80%-90%,Less than 1 hour,SPORTS;ARTS AND CULTURE,More than 9 hours,7 or more members,Occasionally,Watching TV/Movies,No,Master's Degree,2.0 - 2.9,BBA
147,BAHRIA UNIVERSITY,Bsc,70%-80%,Less than 1 hour,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,More than 9 hours,7 or more members,Occasionally,Playing Games,No,Bachelor's Degree,3.0 - 3.9,BBA
148,BAHRIA UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK,Less than 5 hours,3-4 members,"No, I don't",Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BBA
149,DOW UNIVERSITY OF HEALTH SCIENCES,Bsc,80%-90%,3-4 hours,SPORTS;ARTS AND CULTURE,5-7 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,High School Diploma or Below,2.0 - 2.9,BBA
150,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,3-4 hours,SPORTS;VOLUNTEER WORK,7-9 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-EE
151,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,3-4 hours,SPORTS,5-7 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-EE
152,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,5-6 hours,SPORTS;ACADEMIC CLUBS,Less than 5 hours,7 or more members,"Yes, regularly",Watching TV/Movies,No,High School Diploma or Below,3.0 - 3.9,BS-EE
153,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,More than 6 hours,SPORTS,5-7 hours,3-4 members,"No, I don't",Watching TV/Movies,Yes,Doctorate or Professional Degree,3.0 - 3.9,BS CE
154,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,5-6 hours,SPORTS,5-7 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-EE
155,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,3-4 hours,SPORTS,Less than 5 hours,3-4 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,0.0 - 1.9,BS-EE
156,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,3-4 hours,SPORTS,Less than 5 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,0.0 - 1.9,BS-EE
157,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,5-6 hours,SPORTS,Less than 5 hours,5-6 members,"No, I don't",Playing Games,Yes,High School Diploma or Below,0.0 - 1.9,BS CE
158,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,More than 6 hours,SPORTS,Less than 5 hours,7 or more members,"Yes, regularly",Socializing with Friends,Yes,Master's Degree,4,BS-EE
159,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,More than 6 hours,VOLUNTEER WORK,7-9 hours,1-2 members,Occasionally,Playing Games,Yes,High School Diploma or Below,3.0 - 3.9,BS-EE
160,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,3-4 hours,ARTS AND CULTURE,5-7 hours,3-4 members,"No, I don't",Reading,No,Doctorate or Professional Degree,2.0 - 2.9,BS-EE
161,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,5-6 hours,VOLUNTEER WORK,7-9 hours,7 or more members,"Yes, regularly",Reading,No,Doctorate or Professional Degree,3.0 - 3.9,BS CE
162,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,Less than 1 hour,VOLUNTEER WORK,7-9 hours,1-2 members,"Yes, regularly",Socializing with Friends,Yes,Doctorate or Professional Degree,2.0 - 2.9,BS-EE
163,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,3-4 hours,ARTS AND CULTURE,7-9 hours,3-4 members,"No, I don't",Reading,Yes,Bachelor's Degree,2.0 - 2.9,BS-EE
164,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,3-4 hours,SPORTS;ACADEMIC CLUBS,7-9 hours,5-6 members,Occasionally,Socializing with Friends,Yes,Doctorate or Professional Degree,2.0 - 2.9,BS CE
165,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,90% - 100%,More than 6 hours,SPORTS;ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,Yes,Master's Degree,4,BS-EE
166,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,1-2 hours,ARTS AND CULTURE;ACADEMIC CLUBS,5-7 hours,7 or more members,"Yes, regularly",Socializing with Friends,Yes,High School Diploma or Below,2.0 - 2.9,BS-EE
167,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,Below 60%,5-6 hours,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,5-7 hours,3-4 members,"No, I don't",Playing Games,Yes,Master's Degree,3.0 - 3.9,BS-EE
168,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,60%-70%,1-2 hours,ARTS AND CULTURE;VOLUNTEER WORK,5-7 hours,3-4 members,Occasionally,Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-EE
169,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,5-6 hours,ARTS AND CULTURE;ACADEMIC CLUBS,More than 9 hours,1-2 members,"No, I don't",Socializing with Friends,Yes,High School Diploma or Below,2.0 - 2.9,BS-EE
170,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,1-2 hours,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,More than 9 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,High School Diploma or Below,2.0 - 2.9,BS CE
171,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,60%-70%,1-2 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS,5-7 hours,5-6 members,Occasionally,Reading,No,High School Diploma or Below,2.0 - 2.9,BS-EE
172,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ARTS AND CULTURE,Less than 5 hours,3-4 members,"Yes, regularly",Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-CS
173,FAST UNIVERSITY,Bsc,80%-90%,5-6 hours,SPORTS,7-9 hours,7 or more members,"No, I don't",Reading,Yes,High School Diploma or Below,3.0 - 3.9,BS-AI
174,FAST UNIVERSITY,Bsc,90% - 100%,More than 6 hours,ARTS AND CULTURE,Less than 5 hours,1-2 members,Occasionally,Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BS-CS
175,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,ACADEMIC CLUBS,7-9 hours,5-6 members,"Yes, regularly",Socializing with Friends,Yes,High School Diploma or Below,2.0 - 2.9,BS-AI
176,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,ACADEMIC CLUBS,Less than 5 hours,3-4 members,"Yes, regularly",Playing Games,Yes,Doctorate or Professional Degree,2.0 - 2.9,BS-CS
177,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,Less than 5 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,Master's Degree,3.0 - 3.9,BS-CYS
178,INSTITUTE OF BUSINESS ADMINISTRATION,Bsc,90% - 100%,3-4 hours,ARTS AND CULTURE;VOLUNTEER WORK,7-9 hours,5-6 members,"No, I don't",Watching TV/Movies,No,High School Diploma or Below,3.0 - 3.9,BS-INDUSTRIAL MANAGEMENT 
179,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,Less than 5 hours,5-6 members,"No, I don't",Playing Games,No,Bachelor's Degree,3.0 - 3.9,BS-CS
180,KIET,Bsc,70%-80%,3-4 hours,VOLUNTEER WORK,5-7 hours,1-2 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-SE
181,FAST UNIVERSITY,Bsc,90% - 100%,More than 6 hours,SPORTS;VOLUNTEER WORK,5-7 hours,3-4 members,Occasionally,Reading,Yes,Bachelor's Degree,3.0 - 3.9,BS-CS
182,JINNAH UNIVERSITY FOR WOMEN (1ST WOMEN UNIVERSITY),Bsc,80%-90%,1-2 hours,SPORTS;ACADEMIC CLUBS;VOLUNTEER WORK,7-9 hours,7 or more members,Occasionally,Watching TV/Movies,Yes,High School Diploma or Below,2.0 - 2.9,BS-SE
183,COMSATS,Bsc,70%-80%,1-2 hours,SPORTS,5-7 hours,1-2 members,Occasionally,Playing Games,Yes,Master's Degree,2.0 - 2.9,BS-SE
184,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,No Activity,Less than 5 hours,3-4 members,"No, I don't","free time nai milta, but studying",Yes,Bachelor's Degree,2.0 - 2.9,BS-AI
185,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ARTS AND CULTURE;ACADEMIC CLUBS;VOLUNTEER WORK,Less than 5 hours,7 or more members,"No, I don't",Socializing with Friends,Yes,Bachelor's Degree,2.0 - 2.9,BS-AI
186,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,No Activity,More than 9 hours,3-4 members,"No, I don't",Reading,Yes,Bachelor's Degree,2.0 - 2.9,BS-AI
187,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK,Less than 5 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Doctorate or Professional Degree,2.0 - 2.9,BS-AI
188,FAST UNIVERSITY,Bsc,80%-90%,Less than 1 hour,No Activity,Less than 5 hours,3-4 members,"Yes, regularly",phone,No,Bachelor's Degree,2.0 - 2.9,BS-AI
189,FAST UNIVERSITY,Bsc,70%-80%,3-4 hours,SPORTS;ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Master's Degree,2.0 - 2.9,BS-CS
190,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,5-7 hours,5-6 members,Occasionally,Socializing with Friends,Yes,Master's Degree,2.0 - 2.9,BS-AI
191,UNIVERSITY OF KARACHI,Bsc,80%-90%,1-2 hours,VOLUNTEER WORK,5-7 hours,1-2 members,Occasionally,Gardening ,No,Bachelor's Degree,3.0 - 3.9,BACHELOR
192,UNIVERSITY OF KARACHI,Bsc,70%-80%,5-6 hours,SPORTS,7-9 hours,5-6 members,Occasionally,Playing Games,No,Bachelor's Degree,3.0 - 3.9,BACHELOR
193,UNIVERSITY OF KARACHI,Bsc,70%-80%,3-4 hours,SPORTS,7-9 hours,5-6 members,"No, I don't",Watching TV/Movies,No,Bachelor's Degree,2.0 - 2.9,BACHELOR
194,UNIVERSITY OF KARACHI,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK,5-7 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,Doctorate or Professional Degree,3.0 - 3.9,DOCTOR OF PHYSICAL THERAPY 
195,UNIVERSITY OF KARACHI,Bsc,80%-90%,3-4 hours,ARTS AND CULTURE,7-9 hours,3-4 members,Occasionally,Socializing with Friends,No,Master's Degree,3.0 - 3.9,BACHELOR
196,UNIVERSITY OF KARACHI,Bsc,70%-80%,3-4 hours,SPORTS,7-9 hours,5-6 members,Occasionally,Reading,No,Master's Degree,3.0 - 3.9,MASTERS
197,UNIVERSITY OF KARACHI,Bsc,80%-90%,3-4 hours,ARTS AND CULTURE,7-9 hours,3-4 members,Occasionally,Socializing with Friends,No,Master's Degree,3.0 - 3.9,BACHELOR
198,BAHRIA UNIVERSITY,Bsc,80%-90%,3-4 hours,VOLUNTEER WORK,7-9 hours,3-4 members,"Yes, regularly",Socializing with Friends,Yes,High School Diploma or Below,3.0 - 3.9,BS-IT
199,UNIVERSITY OF KARACHI,Msc,70%-80%,3-4 hours,ACADEMIC CLUBS,7-9 hours,5-6 members,"Yes, regularly",Reading,Yes,Master's Degree,4,MASTERS
200,UNIVERSITY OF KARACHI,Bsc,60%-70%,3-4 hours,ARTS AND CULTURE,5-7 hours,7 or more members,Occasionally,Playing Games,No,Master's Degree,2.0 - 2.9,BACHELOR
201,UNIVERSITY OF KARACHI,Bsc,80%-90%,Less than 1 hour,SPORTS,5-7 hours,5-6 members,Occasionally,Socializing with Friends,No,High School Diploma or Below,3.0 - 3.9,BACHELOR
202,UNIVERSITY OF KARACHI,Bsc,80%-90%,3-4 hours,ARTS AND CULTURE,5-7 hours,7 or more members,Occasionally,Watching TV/Movies,No,High School Diploma or Below,2.0 - 2.9,BACHELOR
203,UNIVERSITY OF KARACHI,Msc,90% - 100%,3-4 hours,VOLUNTEER WORK,5-7 hours,7 or more members,"Yes, regularly",Playing football,No,High School Diploma or Below,2.0 - 2.9,MASTERS
204,UNIVERSITY OF KARACHI,Bsc,90% - 100%,1-2 hours,ARTS AND CULTURE;VOLUNTEER WORK,7-9 hours,7 or more members,"No, I don't",Reading,No,High School Diploma or Below,3.0 - 3.9,MASTERS
205,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,SPORTS,5-7 hours,5-6 members,"No, I don't",Socializing with Friends,No,Master's Degree,2.0 - 2.9,BS-AI
206,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,ACADEMIC CLUBS,Less than 5 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,High School Diploma or Below,3.0 - 3.9,BS-AI
207,IQRA UNIVERSITY,Bsc,90% - 100%,Less than 1 hour,SPORTS,5-7 hours,3-4 members,"Yes, regularly",Socializing with Friends,No,Master's Degree,3.0 - 3.9,BS-CS
208,UNIVERSITY OF KARACHI,Bsc,90% - 100%,5-6 hours,ARTS AND CULTURE;VOLUNTEER WORK,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,High School Diploma or Below,3.0 - 3.9,MASTERS
